iter	Passed	Remaining
0	55	16696
1	56	8444
2	56	5632
3	57	4262
4	58	3437
5	58	2887
6	59	2496
7	60	2201
8	60	1971
9	61	1789
10	62	1638
11	62	1511
12	63	1407
13	64	1324
14	65	1245
15	66	1175
16	66	1113
17	68	1072
18	69	1028
19	70	986
20	71	945
21	71	909
22	72	875
23	73	845
24	74	816
25	74	788
26	75	763
27	76	740
28	76	718
29	77	697
30	78	678
31	78	660
32	79	643
33	80	627
34	80	612
35	81	598
36	82	585
37	83	572
38	83	560
39	84	548
40	85	537
41	85	526
42	86	517
43	87	507
44	87	497
45	88	488
46	89	479
47	89	471
48	90	463
49	91	455
50	91	448
51	92	440
52	93	434
53	93	427
54	94	421
55	95	414
56	95	408
57	96	402
58	97	396
59	97	391
60	98	385
61	99	380
62	99	375
63	100	370
64	101	365
65	101	360
66	102	355
67	102	351
68	103	346
69	104	342
70	104	338
71	105	334
72	106	330
73	106	326
74	107	322
75	108	319
76	108	315
77	109	311
78	110	308
79	110	305
80	111	301
81	112	298
82	112	295
83	113	292
84	114	289
85	114	285
86	115	282
87	116	279
88	116	277
89	117	274
90	118	271
91	118	268
92	119	266
93	120	263
94	120	260
95	121	258
96	122	255
97	122	253
98	123	250
99	124	248
100	124	245
101	125	243
102	126	241
103	126	238
104	127	236
105	128	235
106	129	232
107	129	230
108	130	228
109	131	226
110	131	224
111	132	222
112	133	220
113	134	218
114	134	217
115	135	215
116	136	213
117	137	211
118	137	209
119	138	207
120	139	205
121	139	204
122	140	202
123	141	200
124	142	199
125	143	197
126	143	195
127	144	194
128	145	192
129	145	190
130	146	189
131	147	187
132	148	186
133	148	184
134	149	182
135	150	181
136	151	179
137	151	178
138	152	176
139	153	175
140	153	173
141	154	171
142	155	170
143	155	168
144	156	167
145	157	166
146	158	164
147	158	163
148	159	161
149	160	160
150	160	158
151	161	157
152	162	156
153	163	154
154	163	153
155	164	151
156	165	150
157	165	149
158	166	147
159	167	146
160	168	145
161	168	143
162	169	142
163	170	141
164	171	140
165	172	138
166	172	137
167	173	136
168	174	134
169	174	133
170	175	132
171	176	131
172	176	129
173	177	128
174	178	127
175	179	126
176	179	124
177	180	123
178	181	122
179	181	121
180	182	120
181	183	118
182	184	117
183	184	116
184	185	115
185	186	114
186	187	113
187	187	111
188	188	110
189	189	109
190	190	108
191	190	107
192	191	106
193	192	105
194	193	103
195	193	102
196	194	101
197	195	100
198	195	99
199	196	98
200	197	97
201	197	95
202	198	94
203	199	93
204	199	92
205	200	91
206	201	90
207	202	89
208	202	88
209	203	87
210	204	86
211	205	85
212	205	84
213	206	83
214	207	82
215	208	80
216	208	79
217	209	78
218	210	77
219	211	76
220	211	75
221	212	74
222	213	73
223	214	72
224	215	71
225	215	70
226	217	69
227	218	68
228	218	67
229	219	66
230	220	65
231	221	64
232	221	63
233	222	62
234	223	61
235	223	60
236	224	59
237	225	58
238	225	57
239	226	56
240	227	55
241	227	54
242	228	53
243	229	52
244	230	51
245	230	50
246	231	49
247	232	48
248	232	47
249	233	46
250	234	45
251	235	44
252	235	43
253	236	42
254	237	41
255	238	40
256	239	40
257	240	39
258	240	38
259	241	37
260	242	36
261	242	35
262	243	34
263	244	33
264	244	32
265	245	31
266	246	30
267	247	29
268	247	28
269	248	27
270	249	26
271	250	25
272	250	24
273	251	23
274	252	22
275	252	21
276	253	21
277	254	20
278	254	19
279	255	18
280	256	17
281	256	16
282	257	15
283	258	14
284	258	13
285	259	12
286	260	11
287	260	10
288	261	9
289	262	9
290	262	8
291	263	7
292	264	6
293	265	5
294	266	4
295	267	3
296	268	2
297	269	1
298	270	0
299	271	0
